date,mktret,bondret
1942,0.167218,0.032212119
1943,0.279688,0.020828628
1944,0.21364,0.028146733
1945,0.390593,0.107340314
1946,-0.064212,-0.001040483
1947,0.032933,-0.026261216
1948,0.021313,0.033974703
1949,0.201096,0.064481524
1950,0.30473,0.000569071
1951,0.209441,-0.039351252
1952,0.133324,0.011562605
1953,0.003843,0.036338826
1954,0.50412,0.071852063
1955,0.254135,-0.006939906
1956,0.085817,-0.062721501
1957,-0.103484,0.082191553
1958,0.447759,-0.060061884
1959,0.126462,-0.037042455
1960,0.012089,0.139142415
1961,0.269605,-0.002876335
1962,-0.103122,0.082312838
1963,0.208876,-0.009443124
1964,0.163038,0.043643197
1965,0.143859,0.002159995
1966,-0.086888,0.045312753
1967,0.285666,-0.057151286
1968,0.141689,-0.011729762
1969,-0.108362,-0.064313353
1970,0.000722,0.12497908
1971,0.161989,0.176377038
1972,0.173406,0.04939879
1973,-0.187489,-0.024002796
1974,-0.279412,0.020375575
1975,0.37358,0.079058804
1976,0.267684,0.17950079
1977,-0.029754,0.00224257
1978,0.085434,-0.017110569
1979,0.244092,-0.011929452
1980,0.332392,-0.032353181
1981,-0.039867,0.010230462
1982,0.204216,0.397440452
1983,0.226477,0.012767635
1984,0.03162,0.158054452
1985,0.314113,0.332307757
1986,0.155616,0.253862091
1987,0.018309,-0.052750921
1988,0.175565,0.081799607
1989,0.284313,0.198440572
1990,-0.060845,0.055070439
1991,0.336457,0.179914307
1992,0.090664,0.07386858
1993,0.115897,0.175562648
1994,-0.007575,-0.096122604
1995,0.356824,0.3197138
1996,0.211764,-0.024550154
1997,0.303524,0.155656549
1998,0.222598,0.150555927
1999,0.252658,-0.11818136
2000,-0.111601,0.205109726
2001,-0.112684,0.037489533
2002,-0.208372,0.168110119
2003,0.331378,0.015652337
2004,0.129936,0.084932063
2005,0.073067,0.082976631
2006,0.162153,-0.000350656
2007,0.072885,0.10000792
2008,-0.383008,0.334775154
2009,0.316137,-0.20157059
2010,0.178912,0.092326471
2011,-0.009021,0.311464195
2012,0.159772,0.030839284
2013,0.31677,-0.137300538
2014,0.108321,0.272569006
2015,-0.015992,-0.019125662
2016,0.129407,0.010329454
2017,0.209031,0.079476051